tweet_number,word,tf-idf_score
21,TheOrangeNBlack,0.64903897087154
21,WeAreWinter,0.30013194160205187
21,http,0.19083892216843018
22,Canada,0.2726171677481295
22,Go,0.4016312012400353
22,Good,0.4176725603075428
22,Thats,0.49829137959962255
22,WeAreWinter,0.23042246452778847
22,boys,0.4016312012400353
22,win,0.35668677779495533
23,Canadian,0.2854081606117984
23,GoCanadaGo,0.17809088115270932
23,Just,0.29349022752593446
23,LA,0.3257410585584503
23,Lauren_Collins,0.3257410585584503
23,PaulaBrancati,0.3257410585584503
23,RT,0.10541855531220247
23,bed,0.3257410585584503
23,couple,0.3257410585584503
23,gals,0.3257410585584503
23,hockey,0.23413560882924744
23,watching,0.31323047064834547
24,CDNOlympicTeam,0.3067446549476208
24,ONq4nsL2ZE,0.5216625480942259
24,RT,0.16124457941712247
24,Way,0.5216625480942259
24,WeAreWinter,0.27487132747535825
24,boys,0.47910650407550703
24,http,0.17477695839503524
25,Bieber,0.27086662146782986
25,Canada,0.16885878359194156
25,GoCanadaGo,0.14144108485258858
25,Justin,0.2865444674328544
25,LazarusRock,0.3086411502568329
25,RT,0.0837241903147476
25,Sorry,0.3086411502568329
25,USA,0.22093141059051502
25,bet,0.27086662146782986
25,bets,0.3086411502568329
25,citizenship,0.3086411502568329
25,initiate,0.3086411502568329
25,paperwork,0.3086411502568329
25,transfer,0.3086411502568329
26,SportsCenter,0.36484694241246407
26,USAvsCanada,0.26116462296018017
26,benn,0.36484694241246407
26,crosby,0.36484694241246407
26,jamie,0.36484694241246407
26,jonathan,0.36484694241246407
26,quick,0.36484694241246407
26,sidney,0.36484694241246407
27,49th,0.328195234473756
27,DonRCampbell,0.328195234473756
27,Ummm,0.328195234473756
27,canadahockey,0.2750963582262458
27,domination,0.328195234473756
27,hockey,0.19773329651795568
27,just,0.28802748521956184
27,major,0.328195234473756
27,parallel,0.328195234473756
27,today,0.2197246489993978
27,wise,0.328195234473756
28,5i562hA5uO,0.4402594620250369
28,Christian4Peeps,0.4402594620250369
28,Good,0.4204938101147167
28,RT,0.1360830905879276
28,TeamCanada,0.33585633568398415
28,eh,0.4402594620250369
28,game,0.29769836464584065
28,http,0.14750380290568954
29,Canada,0.18377528377228303
29,CommandSign,0.3359056234191669
29,NOTSportsCenter,0.3118569830699859
29,RT,0.09112014493056941
29,The,0.23479489172765514
29,USAvsCanada,0.24044785714908057
29,aren,0.3359056234191669
29,bet,0.29479420120059174
29,bqCtygV6Ss,0.3359056234191669
29,http,0.09876736220869556
29,pic,0.3359056234191669
29,pretty,0.29479420120059174
29,results,0.3359056234191669
30,Letter,0.38365910352844096
30,RT,0.1040740930788749
30,Very,0.38365910352844096
